duration_ms,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,top100
57653,0.923,0.287,-13.711,0.114,0.972,0.101,0.516,113.953,0
57695,0.194,0.896,-18.055,0.0651,0.358,0.875,0.0176,83.326,0
57789,0.781,0.936,-4.709,0.202,0.171,0.202,0.873,182.148,0
57853,0.305,0.893,-9.621,0.048,0.000746,0.366,0.173,120.226,0
57862,0.694,0.89,-8.344,0.222,0.3,0.0656,0.429,95.89,0
57877,0.789,0.0337,-13.449,0.0853,0.963,0.146,0.68,105.996,0
57903,0.487,0.0827,-24.461,0.0576,0.909,0.0984,0.335,97.09,0
58017,0.611,0.256,-11.29,0.0733,0.899,0.125,0.585,123.535,0
58053,0.908,0.591,-5.13,0.226,0.0464,0.0972,0.565,113.083,0
58197,0.381,0.78,-9.573,0.288,0.0318,0.428,0.244,73.557,0
58333,0.912,0.467,-10.17,0.049,0.872,0.145,0.962,90.049,0
58462,0.843,0.576,-6.668,0.158,0.00679,0.211,0.281,120.052,0
58506,0.738,0.531,-7.35,0.14,0.907,0.311,0.919,170.007,0
58614,0.105,0.101,-20.854,0.0404,0.762,0.111,0.0385,87.408,0
58640,0.284,0.293,-10.157,0.0378,0.796,0.11,0.228,59.488,0
58727,0.453,0.171,-13.325,0.0426,0.815,0.687,0.526,103.149,0
58809,0.573,0.529,-9.441,0.0365,0.561,0.0979,0.308,167.939,0
58871,0.607,0.355,-14.867,0.828,0.948,0.706,0.964,125.308,0
58893,0.184,0.0315,-24.819,0.0418,0.989,0.123,0.0729,71.647,0
58906,0.701,0.68,-5.713,0.317,0.24,0.0383,0.766,135.605,0
58946,0.397,0.91,-2.663,0.0427,3.89E-05,0.762,0.828,135.06,0
58960,0.442,0.942,-6.785,0.865,0.379,0.715,0.479,81.027,0
59000,0.827,0.158,-11.261,0.0458,0.964,0.108,0.9,99.821,0
59040,0.919,0.187,-13.599,0.082,0.907,0.101,0.484,114.091,0
59120,0.299,0.146,-16.797,0.0363,0.94,0.224,0.125,74.714,0
59266,0.427,0.306,-15.619,0.0331,0.957,0.153,0.177,88.062,0
59268,0.366,0.89,-5.735,0.148,0.000149,0.37,0.694,176.97,0
59381,0.463,0.947,-18.492,0.053,0.927,0.152,0.145,100.074,0
59399,0.237,0.995,-2.459,0.202,0.000391,0.216,0.437,96.926,0
59400,0.335,0.922,-3.562,0.0527,0.197,0.148,0.248,92.456,0
59403,0.245,0.978,-2.965,0.265,0.000496,0.116,0.386,89.907,0
59426,0.733,0.297,-12.708,0.0543,0.949,0.222,0.963,143.234,0
59441,0.339,0.894,-5.938,0.0555,0.000903,0.547,0.679,131.042,0
59500,0.562,0.927,-6.738,0.041,0.0469,0.751,0.696,98.569,0
59520,0.507,0.221,-11.525,0.061,0.489,0.123,0.405,98.595,0
59520,0.881,0.0517,-17.122,0.107,0.846,0.166,0.702,122.397,0
59625,0.479,0.957,-6.685,0.118,0.00165,0.519,0.427,119.963,0
59694,0.592,0.731,-4.719,0.031,0.0245,0.127,0.574,66.197,0
59705,0.428,0.185,-13.423,0.0636,0.844,0.109,0.326,203.917,0
59743,0.215,0.383,-15.149,0.0605,0.694,0.0765,0.0392,118.915,0
59760,0.558,0.887,-6.42,0.0861,0.0166,0.518,0.461,128.113,0
59823,0.709,0.119,-20.33,0.0459,0.902,0.109,0.336,135.223,0
59880,0.478,0.583,-5.128,0.0782,0.693,0.114,0.675,134.219,0
